Sintomas,Laudo técnico,Possível Diagnóstico
Desconforto ou Dor Abdominal; Fadiga ou Cansaço; Icterícia; Hepatomegalia; Ascite;Edema;Prurido; Confusão Mental ou Sonolência Excessiva;Vasos Sanguíneos Visíveis na Pele; Perda de Peso Involuntária;,Aumento da Ecogenicidade do Fígado (Fígado Brilhante); Dificuldade na Visualização das Estruturas Internas; Perda da Definição dos Vasos hepáticos;Aumento do Tamanho do Fígado (Hepatomegalia; Alteração Difusa ou Focal. ,Esteatose Hepática. 
Fadiga e cansaço.Fraqueza geral.Perda de apetite.Náuseas ou desconforto abdominal.Perda de peso involuntária.Icterícia;Prurido;Hematomas ou sangramentos fáceis;Hepatomegalia ou esplenomegalia;Edema;Confusão mental ou desorientação.Alterações de humor ou comportamento.Sonolência excessiva.Tremores ou movimentos involuntários (asterixis).Coma (em casos graves).Ginecomastia;Perda de pelos corporais Eritema palmar;Telangiectasias;Caquexia (perda severa de peso e massa muscular).Sangramentos graves (por insuficiência de fatores de coagulação).Insuficiência renal (síndrome hepatorrenal).,Heterogeneidade do Parênquima Hepático;Aumento da Ecogenicidade;Nódulos de Regeneração;Atrofia do Lobo Direito e Aumento do Lobo Esquerdo e/ou Caudado;Contornos Irregulares;Redução Global do Volume Hepático;Aumento do Diâmetro da leia Porta (>13 mm);Fluxo Portal Alterado;Aumento das Veias Colaterais;Trombose da Veia Porta ou Esplenomegalia;Ascite;,Cirrose Hepática
Fadiga ou cansaço extremo.Mal-estar geral.Febre baixa.Dores musculares (mialgia) ou articulares (artralgia).Náuseas e vômitos.Perda de apetite (anorexia).Dor ou desconforto no quadrante superior direito do abdômen;Diarreia ou constipação.Icterícia;Urina escura;Fezes claras ou esbranquiçadas;Prurido (coceira):HepatomegaliaConfusão mental ou desorientação;Sonolência excessiva ou coma.Hemorragias ou hematomas fáceis;Ascite e edema:,Aumento Difuso do Tamanho do Fígado (Hepatomegalia)Ecogenicidade Reduzida (Fígado Hipoecoico);Aumento da Visualização das Estruturas Vasculares;Espessamento da Vesícula Biliar;,Hepatite Aguda
Cansaço ou fadiga. Mal-estar geral.Perda de apetite (anorexia).Náuseas leves.Desconforto abdominal leve;Icterícia leve:Urina escura;Fezes claras;Prurido (coceira);Hepatomegalia; Dor abdominal recorrente; Ascite; Edema periférico;Hematomas e sangramentos fáceis;Confusão mental ou desorientação; Perda de peso e massa muscular;Ginecomastia (em homens); perda de pelos corporais;telangiectasias eritema palmar.,"ecogenicidade aumentada, com aspecto granular ou heterogêneo,hepatomegalia.Contornos Hepáticos Suavemente Irregulares;Fluxo Portal Alterado; Esplenomegalia;Ascite Leve. ",Hepatite Crônica
"Dor lombar intensa e súbita (geralmente unilateral), irradiando para a região abdominal inferior ou genital (cólica renal). Hematúria, visível a olho nu ou detectada em exame de urina. Náuseas e vômitos associados à dor. Disúria ou urgência miccional, em caso de obstrução vesical.","Presença de cálculos (litíase) no interior do rim, frequentemente hiperecogênicos com sombra acústica posterior (ausência de ecos atrás da pedra, devido à obstrução). Dilatação do sistema coletor renal hidronefrose) se o cálculo obstruir o fluxo urinário. Litíase renal hiperecogênica, com sombra acústica posterior. Hidronefrose unilateral ou bilateral, com dilatação do sistema coletor renal, sugerindo obstrução do fluxo urinário.",Cálculos Renais (Litíase Renal)
"Menorragia ou metrorragia (sangramento menstrual excessivo ou irregular). Dor pélvica ou sensação de pressão na região pélvica, associada ao aumento do volume uterino. Aumento do volume abdominal. Infertilidade, especialmente em casos de miomas submucosos.","Nódulos uterinos hiperecoicos, isodensos ou hipoecoicos, dependendo da localização e composição do mioma. Aumento do tamanho uterino, com contorno irregular devido à presença de múltiplos miomas. Localização dos miomas: subserosa, intramural ou submucosa, com padrões ecográficos variados.",Miomas Uterinos (Leiomiomas)
"Dor pélvica crônica, exacerbada durante o ciclo menstrual. Dismenorreia (dor menstrual intensa). Dispareunia (dor durante a relação sexual). Infertilidade devido a alterações anatômicas nas trompas ou ovários.","Cistos endometriósicos (cistos de chocolate), com conteúdo homogêneo ou ecogênico misto, apresentando bordas bem definidas. Alterações morfológicas no útero e nos ovários, com adensamento ou aderências. Aderências pélvicas e alterações no peritônio.",Endometriose
"Dor abdominal unilateral súbita, associada a sangramento vaginal irregular. Teste de gravidez positivo com sinais clínicos de hemorragia interna ou choque (taquicardia, hipotensão). Amenorreia e dor abdominal aguda.","Ausência de saco gestacional intrauterino, confirmando a localização ectópica. Massa anexial hiperecoica ou hipoecoica, geralmente localizada na trompa de Falópio, sugerindo gravidez ectópica. Sangramento livre na cavidade peritoneal em caso de ruptura.",Gravidez Ectópica
"Nódulo palpável no pescoço, geralmente assintomático. Rouquidão ou sensação de dificuldade para deglutir, em nódulos grandes. Sintomas de hipotireoidismo ou hipertireoidismo (fadiga, ganho de peso, taquicardia, entre outros).","Nódulo hipoecoico ou isoeico, dependendo da natureza do nódulo. Microcalcificações ou bordas irregulares, sugerindo possível malignidade. Vascularização aumentada no Doppler, especialmente em nódulos suspeitos de malignidade. Cistos ou nódulos sólidos com características benignas ou malignas, dependendo da morfologia e características ecográficas.",Nódulos Tireoidianos
"Dor abdominal ou nas costas, pulsátil, associada à sensação de plenitude. Sinal de choque em casos de ruptura (queda da pressão arterial, taquicardia). Pulsação visível ou palpável no abdômen.","Aneurisma da aorta abdominal, com diâmetro superior a 3 cm (normalmente a aorta abdominal possui cerca de 2 cm de diâmetro). Aneurisma fusiforme ou sacular, conforme a forma da dilatação. Fluxo sanguíneo normal ou alterado, dependendo do grau de obstrução ou disrupção.",Aneurisma da Aorta Abdominal
"Dor abdominal ou pélvica, com intensidade variável, especialmente associada ao ciclo menstrual. Distensão abdominal ou sensação de plenitude. Dor súbita e intensa, caso ocorra torção ou ruptura do cisto ovariano.","Cistos ovarianos simples, anecoicos, com bordas bem definidas e conteúdo homogêneo. Cistos complexos, com conteúdo líquido ou misto, podendo apresentar septos, trabeculação ou características suspeitas de malignidade. Aumento do ovário em casos de cistos grandes ou torção ovariana.",Cistos e Lesões Ovarianas
"Hidronefrose congênita ou alteração do fluxo urinário. Infecção urinária recorrente. Hipertensão, em casos mais graves.","Dilatação do sistema coletor renal. Rim de aparência displásica, com estruturas renais malformadas. Presença de cistos ou múltiplos focos hipoecoicos, sugerindo displasia renal.",Displasia Renal (Pediátrica)
"Assintomático na maioria dos casos. Dor lombar, ocasionalmente.",Cisto simples anecoico com bordas bem definidas. Sem septos internos ou cálculos.,Cisto Renal Simples (Pediátrico e Adulto)
"Febre, dor no quadrante superior direito do abdômen. Icterícia e mal-estar geral.","Lesão hiperecoica ou hipoecoica, dependendo do conteúdo (pus ou líquido). Abscesso com margens irregulares, podendo ter áreas de necrose central (anechoicas).",Abscesso Hepático
"Aumento do volume do pescoço (bócio). Dificuldade para engolir e rouquidão. Em casos de hipertireoidismo, tremores, taquicardia, suor excessivo.","Múltiplos nódulos no tecido tireoidiano, com características variadas (hipoecoicos, hipoecoicos mistos, ou com microcalcificações). Aumento difuso da glândula, com contornos irregulares ou nodulares.",Bócio Multinodular
"Hipotensão, fadiga crônica, perda de peso. Pigmentação excessiva da pele, especialmente em áreas de atrito.","Adrenal hipofuncionante (diminuída de tamanho e ecogenicidade) devido à insuficiência adrenal crônica. Aumento da espessura da adrenal, em casos de doença autoimune associada.",Doença de Addison
"Febre, sintomas gripais, e sinais de insuficiência cardíaca. Sopro cardíaco (em alguns casos). Embolias sépticas em órgãos periféricos.","Vegetações ou massas móveis nas válvulas cardíacas. Alterações na estrutura valvar com espessamento ou regurgitação. Dilatação do coração, especialmente nos casos de insuficiência cardíaca.",Endocardite Infecciosa
